2016-05-26 06:08:01 upgrade perl-base:armhf 5.20.2-3+deb8u4 5.20.2-3+deb8u4
2016-05-26 06:08:01 status half-configured perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:08:01 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:08:01 status half-installed perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:08:02 status half-installed perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:08:02 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:08:02 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-26 06:08:02 install libprocps3:armhf <none> 2:3.3.9-9
2016-05-26 06:08:02 status half-installed libprocps3:armhf 2:3.3.9-9
2016-05-26 06:08:02 status unpacked libprocps3:armhf 2:3.3.9-9
2016-05-26 06:08:02 status unpacked libprocps3:armhf 2:3.3.9-9
2016-05-26 06:08:03 install procps:armhf <none> 2:3.3.9-9
2016-05-26 06:08:03 status half-installed procps:armhf 2:3.3.9-9
2016-05-26 06:08:03 status unpacked procps:armhf 2:3.3.9-9
2016-05-26 06:08:03 status unpacked procps:armhf 2:3.3.9-9
2016-05-26 06:08:03 install sed:armhf <none> 4.2.2-4+b1
2016-05-26 06:08:03 status half-installed sed:armhf 4.2.2-4+b1
2016-05-26 06:08:03 status unpacked sed:armhf 4.2.2-4+b1
2016-05-26 06:08:03 status unpacked sed:armhf 4.2.2-4+b1
2016-05-26 06:08:03 install sensible-utils:all <none> 0.0.9
2016-05-26 06:08:03 status half-installed sensible-utils:all 0.0.9
2016-05-26 06:08:03 status unpacked sensible-utils:all 0.0.9
2016-05-26 06:08:03 status unpacked sensible-utils:all 0.0.9
2016-05-26 06:08:03 install login:armhf <none> 1:4.2-3+deb8u1
2016-05-26 06:08:03 status half-installed login:armhf 1:4.2-3+deb8u1
2016-05-26 06:08:03 status unpacked login:armhf 1:4.2-3+deb8u1
2016-05-26 06:08:04 status unpacked login:armhf 1:4.2-3+deb8u1
2016-05-26 06:08:04 install passwd:armhf <none> 1:4.2-3+deb8u1
2016-05-26 06:08:04 status half-installed passwd:armhf 1:4.2-3+deb8u1
